distance,theta1,theta2,theta3,theta4,theta_d
  3.460570, 34.393146, 97.374189,142.333948, 84.515570, 52.944731
  4.145720, 22.089562,131.653089, 95.767561, 99.389918, 76.802238
  3.813383,142.080251,100.498611, 36.387464, 80.433156,147.317115
  3.671101, 44.809708,113.444279,135.511719, 66.224775, 74.411969
  3.665935,109.291223,106.924536,112.129100,  3.019022,122.575508
  3.555061,138.559369,104.843840, 79.240350, 35.008208,150.523695
  4.531853,  9.618028,102.238448,118.690599,107.036695, 48.001607
  3.329188, 68.994973,114.020079, 41.852430,134.108652, 92.424718
  5.746374, 70.360746,174.645570, 66.014857, 75.272394,124.899620
  5.170186,110.272428, 52.184351, 60.083454,140.034081, 76.615383
  4.758061, 33.583083,115.083939,129.525760, 76.700292, 69.396140
  3.915960, 97.197818, 77.996481,146.968907, 40.921523, 85.891595
  4.009318, 15.337310,106.255579, 97.499883,123.779818, 53.517663
  5.798412,143.853535, 61.709161, 52.219712,106.284751,106.712098
  4.983405,124.277225, 49.304180,125.918374, 60.139527, 85.590923
  5.561172,159.228271, 89.212889, 53.633320, 70.821557,142.936553
  4.270281,133.261257, 96.699067, 23.803782, 96.475708,134.037245
  3.482267,102.378650, 84.781152,137.352074, 30.796558, 96.136610
  3.886606,119.878596, 33.125865,124.978641, 76.458618, 72.918502
  3.688686, 27.390705, 93.599702,136.822889, 95.496133, 44.376212
  3.984483,115.113031, 45.824509, 64.823278,134.241614, 76.362721
  3.759713, 82.865027, 95.864619,144.989811, 37.125511, 88.922210
  4.562064, 60.634468,126.872762,123.208771, 48.865627, 95.473526
  3.903007, 66.403905, 85.164199, 61.238769,165.189403, 65.117516
  2.752998, 69.064418,176.571220, 73.979945, 68.657719,123.644460
  2.783782,163.880048, 64.900437, 86.545637, 61.568769,117.690909
  2.563764, 62.759378,170.749214, 78.538559, 70.594907,117.382105
  5.997653,132.198045,105.231936, 25.695920, 88.044409,144.099135
